mc_CRY-chi-1-all,mc_CRY-Z-3-all,mc_CRY-S-2-all,sum-D_mc_CRY-chi-3-all,func-alpha-2-all,f-lig-T-2,MPC,logKH_CH4,CH4DC,temperature,time
25.384,1653.0,5.313,-35.84,230.1,426.0,0.912,-5.081863725,206.0719192,80.0,48.0
26.144,1624.0,4.2504,-105.12,0.0,978.0,0.906,-5.196258228,197.4758895,85.0,48.0
22.704,1680.0,4.0348,-43.04,227.37,904.0,1.235,-4.608946626,11.49228628,160.0,144.0
20.724,2070.0,7.0609,-54.24,142.5333333,212.0,1.196,-4.26432287,18.5566132,120.0,72.0
31.77316,3670.2,8.12638,-133.64,65.985,211.5,1.541,-5.283253146,62.61105111,100.0,36.0
22.704,2970.0,8.3971,-336.72,87.98,294.0,1.231,-5.086036289,108.5719387,65.0,48.0
27.72,2520.0,8.7377,-224.64,452.8425,304.5,1.214,-4.483553213,41.34493731,100.0,72.0
24.3648,1512.0,5.8212,-33.68,134.4433333,541.3333333,1.136,-4.512584444,35.60861077,105.0,72.0
29.14368,2275.2,8.57472,-162.48,0.0,136.0,1.74,-5.745809753,80.93633087,120.0,45.0
26.144,1624.0,4.2504,-210.24,0.0,1482.0,0.897,-4.894721501,183.7604276,90.0,24.0
27.4032,2740.8,7.13816,-300.96,141.6114286,436.5714286,1.997,-4.334586005,91.79730332,100.0,120.0
16.512,3528.0,5.1744,-57.44,0.0,762.0,1.645,-4.955013632,82.04459667,120.0,72.0
37.6752,2376.0,8.379,-117.32,127.2728571,418.2857143,1.185,-4.630218444,66.74236002,115.0,96.0
23.65573333,2853.333333,10.7701,-300.56,14.66333333,256.0,1.24,-4.620770649,80.34406923,150.0,96.0
31.9176,3536.0,5.082,-24.52,0.0,256.0,1.535,-4.473531488,17.7021473,140.0,24.0
30.4,2088.0,10.1292,-278.88,0.0,55.5,0.863,-4.998426365,93.79935488,200.0,48.0
48.9856,1176.0,4.3736,-12.32,876.88,190.0,1.996,-4.75855314,119.8351354,120.0,72.0
31.584,2106.0,8.3412,-99.04,87.98,925.0,1.165,-4.306364491,81.0204313,80.0,72.0
20.724,2070.0,7.0609,-54.24,142.5333333,212.0,1.195,-4.300826793,60.55401521,120.0,72.0
24.596,2360.0,6.794533333,-193.52,87.98,992.0,1.234,-4.732223029,148.0959189,90.0,24.0
25.22346667,2315.555556,8.430133333,-760.96,0.0,352.0,1.791,-4.982557614,90.81805987,170.0,96.0
26.4,2040.0,8.0696,-51.44,87.98,370.0,1.186,-4.925435874,70.61316965,110.0,72.0
26.144,2052.0,10.545,-123.76,282.14,1470.0,1.525,-4.321004796,6.647466255,140.0,12.0
35.72,2092.5,6.9048,-99.8,142.5333333,297.0,1.191,-4.401057462,9.624744029,100.0,48.0
29.358,3780.0,5.8212,-118.56,0.0,576.0,1.839,-4.990340931,153.5460586,85.0,17.0
26.488,4940.0,10.584,-81.6,119.78,1068.0,2.111,-4.998460985,98.50040461,80.0,48.0
20.812,2260.0,4.838266667,-91.4,290.2353846,844.0,1.231,-5.152025311,57.16781142,110.0,120.0
23.104,1856.0,8.5008,-23.04,288.6,820.0,0.839,-5.127776111,217.8387109,140.0,120.0
24.8092,2320.0,6.647666667,-109.18,51.32166667,412.5,1.22,-4.920442528,27.91080944,75.0,48.0
25.608,2570.0,8.2399,-214.76,35.192,404.8,1.226,-4.56480884,26.50662638,120.0,96.0
39.9594,3462.75,10.0926,-359.52,148.91375,586.5,1.231,-5.080377549,184.6221611,120.0,120.0
18.5856,2424.0,6.41376,-107.92,119.4566667,168.6666667,1.196,-4.952238528,150.8765054,120.0,336.0
34.2912,2592.0,11.6424,-35.52,288.6,820.0,1.113,-4.667046752,124.2673238,130.0,72.0
27.716,5616.0,6.988066667,-247.28,0.0,170.3529412,1.221,-4.832582228,135.9859444,100.0,24.0
32.336,2754.0,8.0262,-69.56,227.37,658.0,1.151,-5.010147223,31.54320337,150.0,72.0
22.9164,2016.0,5.0838,-126.32,130.472,407.2,1.233,-4.894013204,155.3484585,140.0,48.0
31.8048,2662.5,9.7179,-105.32,43.99,275.0,1.218,-5.219126312,34.35338575,140.0,48.0
25.09173333,1278.0,3.906,-92.76,87.98,720.0,1.15,-5.100302036,89.10783258,100.0,48.0
