total_SA_volumetric,mc_CRY-chi-3-all,mc_CRY-S-3-all,D_mc_CRY-T-3-all,f-lig-Z-0,f-lig-S-3,sum-D_lc-alpha-2-all,MPC,CH4DC,temperature,time
1192.07,35.75,13.8936,48.0,1671.0,105.7776,-24.0,2.111,98.50040461,80.0,48.0
747.675,53.2675,10.0739,11.66666667,2374.0,88.5804,-12.0,1.231,57.16781142,110.0,120.0
2408.91,79.648,12.3648,36.0,958.0,64.7944,23.2,0.839,217.8387109,140.0,120.0
615.844,46.79328333,10.09853333,26.33333333,603.3333333,36.37266667,-97.33333333,1.22,27.91080944,75.0,48.0
575.037,70.367,13.0607,36.66666667,679.6,37.168,-35.0,1.226,26.50662638,120.0,96.0
2082.77,113.8152,17.58645,75.0,947.75,53.463,-40.0,1.231,184.6221611,120.0,120.0
2390.24,50.4768,11.1088,14.8,391.0,12.91746667,-51.33333333,1.196,150.8765054,120.0,336.0
1561.83,118.2144,16.9344,102.0,958.0,64.7944,34.8,1.113,124.2673238,130.0,72.0
1620.9912,50.25778333,12.76993333,27.16666667,394.1176471,14.1242,-87.73333333,1.221,135.9859444,100.0,24.0
58.2051,82.1748,13.1292,35.0,1010.0,58.2732,-24.0,1.151,31.54320337,150.0,72.0
2072.45,33.33525,7.2372,14.0,612.8,34.60268,-104.0,1.233,155.3484585,140.0,48.0
95.1508,57.71845,10.642,31.0,542.5,24.8026,-38.2,1.218,34.35338575,140.0,48.0
842.191,38.09506667,6.2832,8.333333333,1206.0,73.683,-24.0,1.15,89.10783258,100.0,48.0
442.701,73.34,11.6736,32.0,814.0,62.26875,-32.0,0.916,10.42079909,178.0,48.0
1402.35,49.50573333,10.37973333,18.66666667,945.0,57.53916,-113.6,1.218,148.3591131,100.0,72.0
1037.77,81.8376,11.8625,52.0,1056.545455,2.046654545,-36.0,1.263,71.62449074,150.0,72.0
1002.24,66.79906667,10.3576,36.0,1255.428571,85.33148571,-30.0,1.092,86.58201791,80.0,72.0
1440.86,75.05875,16.03365,53.0,433.0,17.53333333,-72.0,1.324,128.0754402,100.0,144.0
119.808,104.54304,16.02216,46.0,1314.0,78.819,-24.0,1.224,4.672410617,160.0,96.0
757.901,42.132,14.4396,40.5,667.0,45.30226667,-48.0,2.051,44.11023206,80.0,72.0
814.704,43.44327273,8.361818182,26.18181818,547.0,14.6826,-162.0,1.2,113.2543834,90.0,72.0
466.929,54.896,8.9712,30.0,957.0,49.4028,-23.12,1.175,29.25723697,80.0,24.0
1545.55,39.534,7.86,16.0,874.0,37.961,-48.0,1.25,74.20274706,100.0,48.0
3.12045,70.7065,16.5122,46.5,374.0,12.4844,-61.33333333,1.708,46.83532703,170.0,168.0
